open,high,low,close,volume,macd,macds,macdh
0.507484,0.507484,0.506844,0.507364,2417719985.4671617,0.0,0.0,0.0
0.507377,0.508553,0.506921,0.508322,2407664343.4917307,2.149358974357085e-05,1.1940883190872694e-05,9.552706552698157e-06
0.507936,0.507936,0.503163,0.506277,2390575444.580816,-3.602822810588879e-05,-7.718588652062339e-06,-2.8309639453826454e-05
0.506323,0.506761,0.505906,0.506761,2386591611.092879,-4.3832682447342286e-05,-1.995236026292953e-05,-2.3880322184412756e-05
0.508286,0.509046,0.507501,0.507589,2381315560.3781013,-1.420269232177418e-05,-1.8241964040548715e-05,4.039271718774535e-06
0.511066,0.514331,0.510998,0.512831,2393002676.442527,0.00022802690273304727,4.851059113921426e-05,0.000179516311593833
0.513058,0.513058,0.511904,0.512561,2387483888.980887,0.0003672119628049808,0.00012916540612889051,0.0002380465566760903
0.512537,0.512537,0.510823,0.510823,2376103943.771529,0.000371976590784584,0.00018751749986699318,0.00018445909091759083
0.510146,0.51043,0.509058,0.51043,2379232260.3477173,0.00035011806301021853,0.00022507903661863165,0.00012503902639158688
0.511135,0.511458,0.509646,0.509646,2371798741.8496246,0.0002891350637281853,0.00023943130513844228,4.970375858974303e-05
0.508864,0.508864,0.507558,0.507558,2360681414.74398,0.00012977350563647683,0.00021543880518506877,-8.566529954859195e-05
0.50862,0.509997,0.50847,0.509997,2345153420.0038524,0.0001451486664149071,0.00020034343123183604,-5.5194764816928946e-05
0.509347,0.509347,0.508064,0.508654,2331066300.8191056,7.876223335456789e-05,0.0001746126256604958,-9.585039230592792e-05
0.508843,0.50988,0.508791,0.50988,2262941632.3969135,9.910241243271667e-05,0.00015881583271388526,-5.9713420281168594e-05
0.510237,0.510783,0.510044,0.510044,2242189089.6503854,0.00012290953515081693,0.00015137269093128258,-2.846315578046565e-05
0.510002,0.510071,0.508818,0.508818,2197593830.986553,6.50728986389959e-05,0.00013361283702639906,-6.853993838740316e-05
0.508758,0.509214,0.507737,0.507737,2017809141.5635839,-4.674034875762345e-05,9.671125000172607e-05,-0.0001434515987593495
0.506689,0.506942,0.506514,0.506906,1831808186.9308496,-0.00018419186123563858,3.950000152496783e-05,-0.0002236918627606064
0.506397,0.508802,0.506397,0.508802,1715916232.5456026,-0.00016595814258613117,-2.1924792683396127e-06,-0.00016376566331779155
0.508358,0.508508,0.507501,0.507816,1537506010.005345,-0.00021417366648934788,-4.5083213207610816e-05,-0.00016909045328173706
0.507902,0.509136,0.507902,0.509136,1424069065.6998613,-0.00016152908089772655,-6.858919112505665e-05,-9.29398897726699e-05
0.509215,0.509606,0.50872,0.509606,1326566287.8977478,-8.73205510700803e-05,-7.236331120494826e-05,-1.4957239865132042e-05
0.510046,0.510055,0.508658,0.508658,1265608450.2646973,-9.31383232068983e-05,-7.654298605084018e-05,-1.6595337156058117e-05
0.50886,0.508929,0.508004,0.508004,1229281852.6673343,-0.00014151800139672321,-8.95996474602347e-05,-5.1918353936488516e-05
0.508117,0.509202,0.507872,0.509202,1181216064.3897316,-9.42080693213665e-05,-9.052482706217533e-05,-3.6832422591911675e-06
0.509209,0.509209,0.506793,0.507027,1145253116.9174182,-0.00020899656293393853,-0.00011429100309613036,-9.470555983780817e-05
0.507186,0.507777,0.50668,0.507777,1124805130.2696104,-0.00024282926501095758,-0.0001400609634199075,-0.00010276830159105008
0.508316,0.508765,0.507183,0.507183,1110589709.5038817,-0.00030885313240980317,-0.0001738848220755631,-0.00013496831033424006
0.507047,0.507289,0.506976,0.506976,1093426368.9357085,-0.00037169727664987384,-0.00021350862786003705,-0.0001581886487898368
0.507631,0.509393,0.507631,0.509393,1082274858.2765841,-0.00024089648363456728,-0.00021899298832435174,-2.190349531021554e-05
0.50925,0.510312,0.509017,0.510312,1069822787.1248673,-6.873302348842092e-05,-0.00018891120380075364,0.00012017818031233272
0.51093,0.512103,0.51093,0.511857,1068075524.4239367,0.00018030898301579779,-0.00011500861477410709,0.0002953175977899049
0.511031,0.511769,0.510738,0.511769,1054381631.1351463,0.000366364448018186,-1.867294222908596e-05,0.00038503739024727196
0.511903,0.511903,0.510242,0.510242,1027174879.201805,0.00039390085614854353,6.388367862643204e-05,0.0003300171775221115
0.509347,0.510362,0.509347,0.510203,1006743616.1571406,0.00040797686463156513,0.00013273024331195374,0.00027524662131961136
0.509309,0.51043,0.509309,0.509661,1007847733.141486,0.0003735314035527848,0.00018090610932247893,0.00019262529423030587
0.50935,0.509935,0.509074,0.509935,1001245595.4871324,0.00036298085603192476,0.00021733051498072178,0.00014565034105120297
0.510007,0.510007,0.50938,0.509654,996428525.4172299,0.0003292419422624704,0.00023971745002157092,8.952449224089947e-05
0.509747,0.510479,0.509747,0.5101,988291014.8626959,0.0003330074879644984,0.00025837855821858743,7.462892974591099e-05
0.51035,0.51035,0.509627,0.510143,975684966.3790787,0.0003354170700025083,0.00027378830888257063,6.162876111993768e-05
0.510637,0.516312,0.510637,0.515867,1007891095.0443413,0.000772129499409413,0.00037346714666008,0.000398662352749333
0.516385,0.517085,0.516051,0.517085,1011465809.7514726,0.0011987886535181902,0.0005385454913441662,0.000660243162174024
0.51699,0.519048,0.516315,0.518096,961693755.8177031,0.0015970234334466982,0.0007502554880004251,0.000846767945446273
0.519974,0.521164,0.519974,0.521164,915378168.6723068,0.002127629059442193,0.0010257452013754554,0.0011018838580667378
0.520323,0.524277,0.520323,0.524277,886553230.7338727,0.0027598857124112586,0.0013725884107350296,0.001387297301676229
0.52355,0.524678,0.523462,0.524604,878837062.5351685,0.0032487909258828163,0.001747841989443405,0.0015009489364394113
0.524523,0.524523,0.522218,0.522218,756680750.1082495,0.003408889262809023,0.0020800607050226864,0.0013288285577863364
0.52675,0.529184,0.52675,0.528793,902575417.9018945,0.004007691431062943,0.0024655954479428045,0.0015420959831201385
